id_sequencage,Poids Mille Grains,Biomasse aérienne_VS3,Biomasse racine_VS3,Biomasse totale_VS3,Surface Projetée_VS3,Pourcentage azote aérien_VS3,Pourcentage azote Racine_VS3,Azote totale_VS3,Azote aérien_VS3,Azote racine_VS3,INN_VS3,SLN_VS3,RTR,SNU,NLA,RUE
158,3.23571428571429,0.4539,0.21355595712098,0.66745595712098,63.11,3.25582917258253,2.01505828802065,0.0190814856278802,0.0147782086143521,0.00430327701352813,0.543817824737432,2.55238321362853,0.328154779853247,0.0833678803426399,3028.656,2.569768
159,3.23571428571429,0.4351,0.123006503719447,0.558106503719447,52.16,3.45316086404952,2.56487982013827,0.0181796719108372,0.0150247029194795,0.00315496899135774,0.574343259433941,2.55238321362853,0.218129678243776,0.145507886708018,3028.656,2.569768
160,4.66428571428571,0.7039,0.323666262820128,1.02756626282013,100.12,3.46275864094929,2.85382808104669,0.0336112367708773,0.024374358073642,0.0092368786972352,0.60432300653233,2.63601348098219,NA,NA,2938.4881,3.3332565
161,4.66428571428571,0.5046,0.15447541200985,0.65907541200985,NA,3.81586634880873,2.04514420357063,0.0224141065307502,0.0192548615960889,0.0031592449346613,0.644145073524249,2.63601348098219,0.233912831800244,0.14510570899711,2938.4881,3.3332565
162,4.66428571428571,0.6176,0.238633185323674,0.856233185323674,66.04,3.56993008068846,2.60297308006864,0.0282594457524175,0.0220478881783319,0.00621155757408554,0.614930804037234,2.63601348098219,0.279592220368855,NA,2938.4881,3.3332565
163,3.85,0.548,0.300858045212766,0.848858045212766,20.0016296385851,3.21922448219721,2.71804421070065,0.0258188048427734,0.0176413501624407,0.00817745468033273,0.547930060890944,4.26666666666668,0.353215477405169,0.0860588779843348,1737.5607,4.0749551
164,3.85,0.2032,0.0686078350515464,0.271807835051546,NA,3.99835644086459,2.82504941645991,0.0100628655316063,0.00812466028783685,0.00193820524376949,0.616268099896526,4.26666666666668,0.218695453576878,0.142502621888443,1737.5607,4.0749551
165,3.85,0.3681,0.202067871868062,0.570167871868062,41.2483934196029,3.67324412367523,2.20133596274953,0.0179694043518428,0.0135212116192485,0.00444819273259429,0.600816960874936,4.26666666666668,0.355888223431244,0.0868424514151293,1737.5607,4.0749551
167,5.09761904761905,0.3502,0.22717247273799,0.57737247273799,34.5241309965765,3.35315530206924,2.65964819762033,0.017784738444512,0.0117427498678465,0.00604198857666549,0.545734101334145,3.19521912350599,0.385253917013449,0.0697350044806947,1938.3963,2.6764811
168,5.09761904761905,0.2636,0.154623704646722,0.418223704646722,23.5618900515901,4.12654978322538,2.49008753821127,0.0147278508291107,0.0108775852285821,0.00385026560052862,0.652795931992044,3.19521912350599,0.342939564903804,0.0993753912593245,1938.3963,2.6764811
169,4.96904761904762,0.3684,0.165263488991048,0.533663488991048,53.6109278899332,3.35355466694831,1.64706392152512,0.0150764906956628,0.0123544953930376,0.00272199530262518,0.548571400749747,3.53570801895069,0.284487131289766,0.0936425185010415,2201.6125,3.5995624
170,4.96904761904762,0.5603,0.204415274463007,0.764715274463007,43.369674391073,3.07266552555331,2.71215059988914,0.0227601950322887,0.0172161449396752,0.00554405009261348,0.524147067021734,3.53570801895069,0.264429916796177,0.112316491465677,2201.6125,3.5995624
171,4.96904761904762,0.3673,0.127303409375783,0.494603409375783,17.0032673272752,2.9238329971064,1.31232557319199,0.0124098737951555,0.0107392385983718,0.00167063519678369,0.478134923067047,3.53570801895069,0.25319750991559,0.0925413559804626,2201.6125,3.5995624
172,5.04285714285714,0.4474,0.24936215932914,0.69676215932914,61.18,3.35174895167033,1.94260610766629,0.0198398493471095,0.0149957248097731,0.00484412453733643,0.559032285398976,2.75449839783091,NA,NA,2443.1437,3.3228967
