id_sequencage	Acidobacteria	Actinobacteria	Armatimonadetes	Bacteroidetes	Chlamydiae	Chlorobi	Chloroflexi	Crenarchaeota	Cyanobacteria	Deinococcus.Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Nitrospinae	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	TM6	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia	Unknown	Unclassified
283	2988.95705830384	7713.56642777776	119.837904108406	4236.26991023217	0	22.9689316207779	5692.30044514931	6.99054440632371	27.9621776252948	8.98784280813048	0.998649200903387	63.9135488578168	0	20.9716332189711	1860.48346128301	0	515.302987666148	2.99594760271016	205.721735386098	3854.78591548707	23581.1035809317	0	3.99459680361355	0	0	4.99324600451694	0.998649200903387	0	77.8946376704642	93.8730248849184	123.83250091202
284	2403.66777729204	9256.98786930607	93.7439534498599	4119.27313897151	2.73040641116097	22.7533867596747	3221.87956516994	2.73040641116097	32.7648769339316	4.55067735193495	1.82027094077398	68.2601602790242	0	10.0114901742569	1277.83020042333	0.910135470386989	527.878572824454	5.46081282232194	197.499397073977	3358.39988572799	26226.4637146715	0	0	0	0	1.82027094077398	0	0	258.478473589905	65.5297538678632	68.2601602790242
285	2811.04196261698	11629.6120322416	96.9748100640793	3159.66026715114	1.22752924131746	17.1854093784444	3910.90816283743	23.3230555850317	15.957880137127	2.45505848263492	0	23.3230555850317	0	15.957880137127	1401.83839358454	0	595.351682038968	8.59270468922222	189.039503162889	4133.09095551589	22867.642236503	0	8.59270468922222	0	0	1.22752924131746	1.22752924131746	0	193.949620128159	81.0169299269523	40.5084649634762
286	2868.67500390118	6494.27965462228	94.2480494094844	4811.55927245711	0	36.3247690432388	5144.37269693436	9.81750514682129	34.3612680138745	1.96350102936426	2.94525154404639	39.2700205872852	0	8.83575463213916	1558.03806680054	0.981750514682129	579.232803662456	2.94525154404639	195.368352421744	3364.45901381566	25696.33797129	0	3.92700205872852	0	0	3.92700205872852	0	1.96350102936426	102.102053526941	71.6677875717954	102.102053526941
287	2560.21503988807	8770.21844424722	135.490983367836	3802.2157207599	2.82272882016325	31.9909266285169	4619.86616900052	15.9954633142584	52.6909379763807	5.6454576403265	1.88181921344217	32.9318362352379	0	12.2318248873741	1456.52807120424	0.940909606721084	638.877622963616	10.3500056739319	250.281955387808	3453.13825666638	24997.145521759	0	8.46818646048975	0	0	1.88181921344217	0.940909606721084	0	252.16377460125	58.3363956167072	56.454576403265
288	2853.63063945988	10597.6087848547	88.0687710652748	3728.2446417633	4.04913889955287	25.3071181222054	4058.24946207686	28.3439722968701	15.1842708733232	5.06142362444108	2.02456944977643	29.3562570217583	1.01228472488822	4.04913889955287	1533.61135820565	1.01228472488822	583.076001535613	9.11056252399395	210.555222776749	3838.58367677612	23245.0941376081	0	2.02456944977643	0	0	4.04913889955287	4.04913889955287	0	225.739493650072	60.737083493293	71.8722154670634
289	2348.94341858611	9056.8988484488	123.628600978216	4292.78240360967	0	22.0765358889672	4638.28019027201	13.2459215333803	34.2186306278992	11.0382679444836	0	39.737764600141	0	4.41530717779344	1820.21038404535	0	456.984292901621	7.72678756113852	204.207956972947	3282.78088668942	24362.5611802698	0	1.10382679444836	0	0	5.5191339722418	1.10382679444836	0	279.268178995435	73.9563952280402	149.016617250529
290	2595.45167289663	8766.69731139576	150.961800175487	3414.8286726443	1.81881686958418	27.2822530437627	4471.56127387271	10.9129012175051	61.8397735658622	5.45645060875254	3.63763373916836	60.020956696278	0	17.2787602610497	1517.802677668	0	672.962241746147	4.54704217396045	322.839994351192	3321.15960386072	25427.0598367869	0	3.63763373916836	0.909408434792091	0.909408434792091	3.63763373916836	0.909408434792091	0	170.059377306121	78.2091253921198	117.31368808818
291	2582.28182209987	9211.37700329391	93.9199223865262	3022.98299637511	0	16.5133929470815	4421.46096158108	10.320870591926	28.8984376573927	4.12834823677038	6.19252235515557	27.8663505982001	0	6.19252235515557	1412.92718403466	0	540.81361901692	0	176.486887121934	3486.39008595259	25862.0375292481	0	0	1.0320870591926	2.06417411838519	4.12834823677038	0	0	164.101842411623	63.9893976699409	83.5990517946002
292	2278.4665842043	9587.35378227796	102.265107010965	3844.14537254217	0	21.4756724723026	3178.39952590079	9.20385963098684	23.5209746125219	16.3624171217544	2.0453021402193	23.5209746125219	0	10.2265107010965	1711.91789136355	0	408.03777697375	6.13590642065789	227.028537564342	3254.0757050889	26171.6861862461	0	3.06795321032895	0	0	1.02265107010965	1.02265107010965	0	211.688771512697	42.9513449446052	94.0838984500877
293	1924.15230977424	8815.06526368303	84.9890596190034	4153.41534358069	0	25.496717885701	4145.76632821498	10.1986871542804	75.640263060913	4.24945298095017	0.849890596190034	33.1457332514113	0.849890596190034	10.1986871542804	1343.67703257644	1.69978119238007	472.539171481659	2.5496717885701	200.574180700848	2915.97463552801	26552.282006169	0	4.24945298095017	0.849890596190034	0	8.49890596190034	0	0.849890596190034	248.16805408749	70.5409194837728	123.234136447555
294	2833.31591879125	10371.2690821004	126.832806683372	3545.94431566477	1.07485429392688	35.470191699587	4730.43374757219	10.7485429392688	30.0959202299526	8.59883435141502	5.37427146963439	40.8444631692214	0	6.44912576356127	1494.04746855836	0	565.373358605538	5.37427146963439	277.312407833135	3434.15946909638	23332.9370125647	2.14970858785376	3.22456288178063	0	1.07485429392688	4.29941717570751	2.14970858785376	0	233.243381782133	61.266694753832	66.6409662234664
295	2397.4428908526	9484.52218137225	101.798582627063	3708.74666706561	0.862699852771717	15.5285973498909	3536.20669651127	11.2150980860323	47.4484919024444	6.03889896940202	1.72539970554343	35.3706939636404	0	6.90159882217373	1448.47305280371	1.72539970554343	478.798418288303	3.45079941108687	282.965551709123	3320.53173331834	25908.6019784402	0	6.03889896940202	0	0	5.1761991166303	0.862699852771717	0	242.418658628852	56.0754904301616	120.77797938804
296	2176.42255393667	9713.59870602212	85.9456852172839	4428.37313427642	1.73627646903604	20.8353176284325	2930.83467973283	5.20882940710812	27.7804235045766	4.3406911725901	0.86813823451802	34.7255293807208	0	4.3406911725901	1258.80044005113	0	465.322093701658	3.47255293807208	204.012485111735	3127.03392073391	26348.8635558564	0	2.60441470355406	0	0	0.86813823451802	0	0	260.441470355406	37.3299440842748	85.9456852172839
297	2506.04080175852	11041.0539680022	69.9189063633067	3484.90549084482	0	17.1730647208122	3976.79113034808	11.0398273205221	55.1991366026106	3.67994244017404	2.45329496011603	41.7060143219724	0	8.58653236040609	1242.59389729877	0	520.098531544598	2.45329496011603	245.329496011603	3881.11262690355	23701.2826096809	0	1.22664748005801	0	0	7.35988488034808	0	0	228.15643129079	82.1853811638869	99.3584458846991
298	2462.58138899071	9087.88932520772	105.163618035191	4028.7681290148	5.00779133500908	23.7870088412931	4062.57072052611	12.5194783375227	40.0623306800726	8.76363483626588	0	46.322069848834	0	10.0155826700182	1929.25161181225	0	622.218073374878	5.00779133500908	289.199949596774	3290.11890710096	24824.8735954737	0	2.50389566750454	0	0	2.50389566750454	1.25194783375227	0	246.633723249197	57.5896003526044	65.101287355118
299	2141.21273624091	9668.9896959258	93.3075000813105	4238.6875818187	1.94390625169397	18.4671093910927	3409.61156547122	9.71953125846984	30.1305469012565	4.85976562923492	0	53.4574219215841	0	20.4110156427867	1326.71601678113	0	449.042344141307	3.88781250338794	213.829687686337	4049.15672227854	25043.3442405734	0	1.94390625169397	0	0.971953125846984	2.91585937754095	0	0	200.222343924479	80.6721094452997	166.203984519834
300	2574.12249016623	11116.2016780111	96.7715221867004	2660.6476158861	2.27697699262824	19.3543044373401	3932.33926626898	5.69244248157061	14.8003504520836	4.55395398525649	4.55395398525649	27.3237239115389	0	3.41546548894237	1308.12328226493	0	536.228081763951	5.69244248157061	212.897348810741	3522.48340759589	24886.2200409304	0	5.69244248157061	0	1.13848849631412	2.27697699262824	2.27697699262824	0	150.280481513464	53.5089593267637	80.8326832383026
301	2735.24957120966	10309.5909993965	108.629210398646	3785.89771553407	1.69733141247885	24.6113054809433	4456.34362346322	12.7299855935914	11.8813198873519	2.54599711871827	0.848665706239424	37.3412910745347	0	11.8813198873519	1576.82088219285	0.848665706239424	565.211360355457	11.0326541811125	259.691706109264	3845.30431497083	23111.7131780182	0	5.09199423743655	0.848665706239424	0.848665706239424	6.7893256499154	1.69733141247885	0	226.593743565926	52.6172737868443	65.3472593804357
302	2600.06344498806	11374.5569333957	84.5549087800996	2559.70769307029	0	13.4519173059249	3275.54186399272	5.76510741682497	32.6689420286749	1.92170247227499	1.92170247227499	26.9038346118499	0	1.92170247227499	1248.14575574261	0.960851236137496	537.11584100086	0.960851236137496	200.817908352737	3537.85425145826	25445.2624353932	0	0.960851236137496	0	0.960851236137496	3.84340494454998	1.92170247227499	0	147.971090365174	55.7293716959747	68.2204377657622
303	2522.51895091698	8440.57269676554	89.4308913380809	3195.37994288921	0	17.0344554929678	3805.78126472055	9.93676570423121	113.563036619785	5.67815183098926	1.41953795774732	55.3619803521453	0	8.51722774648389	1169.69927718379	0	484.062443591834	8.51722774648389	193.057162253635	4643.30865979147	26187.6362445225	0	4.25861387324195	1.41953795774732	1.41953795774732	4.25861387324195	1.41953795774732	0	119.241188450774	55.3619803521453	90.8504292958282
304	2694.02960706599	8658.28518911495	115.047527703886	4587.52016719245	2.87618819259715	16.2983997580505	4493.56468623428	10.5460233728562	154.355433002714	7.66983518025906	0	52.730116864281	0	4.79364698766191	1419.87823774546	0	542.640839003328	4.79364698766191	251.187102153484	3519.49561834138	24218.4633110655	0.958729397532382	4.79364698766191	0.958729397532382	0	12.463482167921	0	0	227.218867215175	72.8634342124611	156.272891797778
305	1919.10191748771	7648.83947743826	115.608549246247	3171.23143547783	0	16.8966341206054	4290.8557701011	9.78226185929785	35.5718613065376	10.6715583919613	1.77859306532688	47.1327162311624	0	13.3394479899516	1238.79007000017	0	471.327162311624	3.55718613065376	214.320464371889	3005.82228040243	28796.3110241749	0	2.66788959799032	0	0.889296532663441	2.66788959799032	0	0	105.826287386949	30.236082110557	76.4795018090559
307	2597.43542201762	8162.10730612108	116.727649252302	4361.10192080451	3.92361846226227	38.2552800070571	4498.42856698369	7.84723692452453	22.560806158008	5.8854276933934	0	44.1407077004505	0	5.8854276933934	1585.14185875396	0	512.032209325226	10.7899507712212	254.054295431482	4046.23153920796	24486.3219183632	0	2.9427138466967	1.96180923113113	0	11.7708553867868	0	0	255.035200047047	68.6633230895897	130.46031387022
308	2510.94460209253	9314.79449163359	92.0938585831552	3478.48489949628	0	11.0956456124283	3982.22721030053	11.0956456124283	27.7391140310708	12.2052101736712	1.10956456124283	35.5060659597707	0	9.9860810511855	1482.37825382043	0	662.410043061971	7.76695192869983	208.598137513653	3966.69330644313	25134.9660058339	1.10956456124283	5.54782280621417	0	0	3.3286936837285	0	3.3286936837285	161.996425941454	62.1356154295987	42.1634533272277
